Id,Subsistema,Sector,Manzana,Lote,Nivel1,Nivel2,Fraccion,Toma,Original,Correcta
262,1,20,5,5,0,0,0,1,"1-20-0005-0005-00-00-00-01","1-20-0005-0005-00-00-00-01"
263,1,1,1,10,0,0,0,1,"1-1-0001-0010-00-00-00-01","1-01-0001-0010-00-00-00-01"
264,1,1,1,8,0,0,0,1,"1-1-0001-0008-00-00-00-01","1-01-0001-0008-00-00-00-01"
265,1,14,6,13,0,0,0,1,"1-14-0006-0013-00-00-00-01","1-14-0006-0013-00-00-00-01"
266,1,14,6,12,0,0,0,1,"1-14-0006-0012-00-00-00-01","1-14-0006-0012-00-00-00-01"
267,1,14,6,11,0,0,0,1,"1-14-0006-0011-00-00-00-01","1-14-0006-0011-00-00-00-01"
268,1,14,6,10,0,0,0,1,"1-14-0006-0010-00-00-00-01","1-14-0006-0010-00-00-00-01"
269,1,14,6,9,0,0,0,1,"1-14-0006-0009-00-00-00-01","1-14-0006-0009-00-00-00-01"
270,1,14,6,8,0,0,0,1,"1-14-0006-0008-00-00-00-01","1-14-0006-0008-00-00-00-01"
271,1,14,6,7,0,0,0,1,"1-14-0006-0007-00-00-00-01","1-14-0006-0007-00-00-00-01"
272,1,14,6,6,0,0,0,1,"1-14-0006-0006-00-00-00-01","1-14-0006-0006-00-00-00-01"
273,1,14,6,5,0,0,0,1,"1-14-0006-0005-00-00-00-01","1-14-0006-0005-00-00-00-01"
274,1,14,6,4,0,0,0,1,"1-14-0006-0004-00-00-00-01","1-14-0006-0004-00-00-00-01"
275,1,14,6,3,0,0,0,1,"1-14-0006-0003-00-00-00-01","1-14-0006-0003-00-00-00-01"
276,1,14,6,2,0,0,0,1,"1-14-0006-0002-00-00-00-01","1-14-0006-0002-00-00-00-01"
277,1,14,5,8,0,0,0,1,"1-14-0005-0008-00-00-00-01","1-14-0005-0008-00-00-00-01"
278,1,14,5,7,0,0,0,1,"1-14-0005-0007-00-00-00-01","1-14-0005-0007-00-00-00-01"
279,1,14,5,6,0,0,0,1,"1-14-0005-0006-00-00-00-01","1-14-0005-0006-00-00-00-01"
280,1,14,6,14,0,0,0,1,"1-14-0006-0014-00-00-00-01","1-14-0006-0014-00-00-00-01"
